XM_011413955	GO:0033588~Elongator holoenzyme complex
XM_011414106	GO:0016021~integral component of membrane
XM_011414248	GO:0005622~intracellular
XM_011414299	GO:0005737~cytoplasm
XM_011414346	GO:0005744~mitochondrial inner membrane presequence translocase complex
XM_011414366	GO:0016021~integral component of membrane
XM_011414373	GO:0016021~integral component of membrane
XM_011414444	GO:0005622~intracellular
XM_011414473	GO:0016021~integral component of membrane
XM_011414488	GO:0016021~integral component of membrane
XM_011414715	GO:0016021~integral component of membrane
XM_011414722	GO:0016021~integral component of membrane
XM_011414727	GO:0016021~integral component of membrane
XM_011414721	GO:0016021~integral component of membrane
XM_011414730	GO:0005886~plasma membrane
XM_011414906	GO:0016021~integral component of membrane
XM_011415003	GO:0005622~intracellular
XM_011415005	GO:0016021~integral component of membrane
XM_011415105	GO:0005789~endoplasmic reticulum membrane
XM_011415104	GO:0016021~integral component of membrane
XM_011415109	GO:0016021~integral component of membrane
XM_011415106	GO:0016021~integral component of membrane
XM_011415140	GO:0016021~integral component of membrane
XM_011415467	GO:0019013~viral nucleocapsid
XM_011415467	GO:0030529~intracellular ribonucleoprotein complex
XM_011415651	GO:0005622~intracellular
XM_011415650	GO:0005622~intracellular
XM_011415731	GO:0016021~integral component of membrane
XM_011415756	GO:0016021~integral component of membrane
AJ427419	GO:0016021~integral component of membrane
XM_011415906	GO:0000940~condensed chromosome outer kinetochore
XM_011416055	GO:0005622~intracellular
AY039648	GO:0005737~cytoplasm
XM_011416888	GO:0008076~voltage-gated potassium channel complex
XM_011417841	GO:0005622~intracellular
XM_011416150	GO:0005634~nucleus
NM_001308909	GO:0005622~intracellular
XM_011416224	GO:0016021~integral component of membrane
XM_011416240	GO:0005634~nucleus
XM_011416241	GO:0005634~nucleus
XM_011416283	GO:0016021~integral component of membrane
XM_011416389	GO:0005840~ribosome
XM_011416444	GO:0005737~cytoplasm
XM_011416540	GO:0031314~extrinsic component of mitochondrial inner membrane
XM_011416819	GO:0016021~integral component of membrane
XM_011417114	GO:0000502~proteasome complex
XM_011417652	GO:0016514~SWI/SNF complex
FJ768956	GO:0005634~nucleus
XM_011417330	GO:0016021~integral component of membrane
XM_011417424	GO:0005634~nucleus
NM_001308866	GO:0005576~extracellular region
XM_011417422	GO:0005576~extracellular region
XM_011417439	GO:0016021~integral component of membrane
XM_011417781	GO:0016021~integral component of membrane
XM_011417840	GO:0016020~membrane
XM_011417867	GO:0016021~integral component of membrane
XM_011417884	GO:0005786~signal recognition particle, endoplasmic reticulum targeting
XM_011417923	GO:0016021~integral component of membrane
XM_011417924	GO:0016021~integral component of membrane
XM_011418007	GO:0016021~integral component of membrane
XM_011418011	GO:0016021~integral component of membrane
XM_011418319	GO:0016021~integral component of membrane
XM_011418340	GO:0000786~nucleosome
XM_011418345	GO:0005634~nucleus
XM_011418352	GO:0005634~nucleus
XM_011418572	GO:0016021~integral component of membrane
XM_011419576	GO:0005840~ribosome
XM_011421157	GO:0005737~cytoplasm
XM_011418358	GO:0000786~nucleosome
XM_011418433	GO:0016021~integral component of membrane
XM_011418499	GO:0016592~mediator complex
XM_011418733	GO:0016021~integral component of membrane
HM034838	GO:0016021~integral component of membrane
XM_011418861	GO:0005622~intracellular
NM_001319970	GO:0005622~intracellular
XM_011419296	GO:0005634~nucleus
XM_011419301	GO:0005622~intracellular
XM_011419370	GO:0016021~integral component of membrane
XM_011419504	GO:0005921~gap junction
XM_011419683	GO:0016021~integral component of membrane
XM_011419836	GO:0031011~Ino80 complex
XM_011420312	GO:0016021~integral component of membrane
XM_011420514	GO:0005622~intracellular
XM_011420781	GO:0005576~extracellular region
XM_011420781	GO:0016021~integral component of membrane
XM_011420904	GO:0005634~nucleus
XM_011420925	GO:0016021~integral component of membrane
XM_011421207	GO:0016021~integral component of membrane
XM_011421239	GO:0016021~integral component of membrane
XM_011421257	GO:0005921~gap junction
XM_011421262	GO:0016021~integral component of membrane
XM_011421265	GO:0005921~gap junction
NM_001308852	GO:0005576~extracellular region
EF190193	GO:0005576~extracellular region
XM_011421780	GO:0000151~ubiquitin ligase complex
XM_011421791	GO:0005576~extracellular region
XM_011421291	GO:0005634~nucleus
XM_011421582	GO:0016021~integral component of membrane
XM_011421747	GO:0016021~integral component of membrane
XM_011421758	GO:0000786~nucleosome
XM_011421870	GO:0005681~spliceosomal complex
XM_011421880	GO:0005576~extracellular region
XM_011422199	GO:0016021~integral component of membrane
XM_011422265	GO:0016021~integral component of membrane
XM_011422322	GO:0005634~nucleus
XM_011422334	GO:0005622~intracellular
XM_011422355	GO:0005622~intracellular
XM_011423870	GO:0005622~intracellular
XM_011424603	GO:0016020~membrane
XM_011424716	GO:0016020~membrane
XM_011424830	GO:0005622~intracellular
XM_011425219	GO:0005622~intracellular
XM_011425224	GO:0005622~intracellular
XM_011422670	GO:0005840~ribosome
AY659986	GO:0005576~extracellular region
XM_011422747	GO:0005576~extracellular region
XM_011422824	GO:0016021~integral component of membrane
XM_011422997	GO:0016021~integral component of membrane
XM_011423056	GO:0016021~integral component of membrane
XM_011423070	GO:0005622~intracellular
XM_011423489	GO:0016021~integral component of membrane
XM_011424136	GO:0016021~integral component of membrane
XM_011424157	GO:0016021~integral component of membrane
XM_011424289	GO:0016021~integral component of membrane
XM_011424867	GO:0016021~integral component of membrane
XM_011425147	GO:0000139~Golgi membrane
XM_011425149	GO:0016021~integral component of membrane
AM286405	GO:0016459~myosin complex
XM_011425542	GO:0016021~integral component of membrane
XM_011425529	GO:0016021~integral component of membrane
XM_011425501	GO:0016021~integral component of membrane
XM_011425521	GO:0016021~integral component of membrane
XM_011425772	GO:0016021~integral component of membrane
XM_011425778	GO:0016021~integral component of membrane
XM_011425930	GO:0016021~integral component of membrane
XM_011425943	GO:0016021~integral component of membrane
XM_011426214	GO:0016021~integral component of membrane
XM_011426300	GO:0005581~collagen trimer
