XM_011413955	GO:0033588~Elongator holoenzyme complex
XM_011414138	GO:0015630~microtubule cytoskeleton
XM_011414070	GO:0015629~actin cytoskeleton
XM_011414346	GO:0005744~mitochondrial inner membrane presequence translocase complex
XM_011414688	GO:0015629~actin cytoskeleton
XM_011415104	GO:0005783~endoplasmic reticulum
XM_011415105	GO:0005789~endoplasmic reticulum membrane
XM_011415109	GO:0042175~nuclear outer membrane-endoplasmic reticulum membrane network
XM_011415311	GO:0031226~intrinsic component of plasma membrane
XM_011415311	GO:0034702~ion channel complex
XM_011415311	GO:0034703~cation channel complex
XM_011415316	GO:0034702~ion channel complex
XM_011415315	GO:1990351~transporter complex
XM_011415315	GO:0005887~integral component of plasma membrane
XM_011415317	GO:0031226~intrinsic component of plasma membrane
XM_011415317	GO:0034703~cation channel complex
XM_011415310	GO:1990351~transporter complex
XM_011415310	GO:0034702~ion channel complex
XM_011415312	GO:0005887~integral component of plasma membrane
XM_011415314	GO:1990351~transporter complex
XM_011415395	GO:0033180~proton-transporting V-type ATPase, V1 domain
XM_011415395	GO:0005774~vacuolar membrane
XM_011415397	GO:0005774~vacuolar membrane
XM_011415394	GO:0033178~proton-transporting two-sector ATPase complex, catalytic domain
XM_011415394	GO:0005774~vacuolar membrane
XM_011418340	GO:0032993~protein-DNA complex
XM_011415467	GO:0019013~viral nucleocapsid
XM_011415467	GO:0030529~intracellular ribonucleoprotein complex
XM_011417652	GO:0016514~SWI/SNF complex
XM_011416540	GO:0031314~extrinsic component of mitochondrial inner membrane
XM_011415906	GO:0005874~microtubule
XM_011415868	GO:0044427~chromosomal part
XM_011415907	GO:0000793~condensed chromosome
XM_011415906	GO:0000940~condensed chromosome outer kinetochore
XM_011415907	GO:0015630~microtubule cytoskeleton
XM_011415906	GO:0000775~chromosome, centromeric region
XM_011415928	GO:0042175~nuclear outer membrane-endoplasmic reticulum membrane network
XM_011416268	GO:0005740~mitochondrial envelope
XM_011416389	GO:0005840~ribosome
XM_011416540	GO:0031967~organelle envelope
XM_011416560	GO:1990904~ribonucleoprotein complex
XM_011416582	GO:0000502~proteasome complex
XM_011416582	GO:0005839~proteasome core complex
XM_011416852	GO:0034708~methyltransferase complex
XM_011416888	GO:0008076~voltage-gated potassium channel complex
XM_011417114	GO:0000502~proteasome complex
XM_011417652	GO:0090544~BAF-type complex
XM_011417499	GO:0090544~BAF-type complex
XM_011417188	GO:0090544~BAF-type complex
XM_011417217	GO:1990904~ribonucleoprotein complex
NM_001308866	GO:0005576~extracellular region
XM_011417422	GO:0005576~extracellular region
XM_011417875	GO:0005654~nucleoplasm
XM_011417884	GO:0005786~signal recognition particle, endoplasmic reticulum targeting
XM_011418355	GO:0044427~chromosomal part
XM_011418358	GO:0000786~nucleosome
XM_011418358	GO:0044427~chromosomal part
XM_011418358	GO:0005694~chromosome
XM_011418340	GO:0000786~nucleosome
XM_011418341	GO:0000785~chromatin
XM_011418343	GO:0000785~chromatin
XM_011418343	GO:0044815~DNA packaging complex
XM_011418345	GO:0032993~protein-DNA complex
XM_011418349	GO:0005694~chromosome
XM_011418359	GO:0044815~DNA packaging complex
XM_011418350	GO:0032993~protein-DNA complex
XM_011418351	GO:0044815~DNA packaging complex
XM_011418352	GO:0000785~chromatin
XM_011418355	GO:0032993~protein-DNA complex
XM_011418359	GO:0032993~protein-DNA complex
XM_011418361	GO:0032993~protein-DNA complex
XM_011418499	GO:0005654~nucleoplasm
XM_011419364	GO:0031226~intrinsic component of plasma membrane
XM_011419576	GO:0005840~ribosome
XM_011420293	GO:0034705~potassium channel complex
XM_011422049	GO:0031966~mitochondrial membrane
XM_011418499	GO:0016592~mediator complex
XM_011418517	GO:0005740~mitochondrial envelope
XM_011418777	GO:0099512~supramolecular fiber
XM_011418776	GO:0099513~polymeric cytoskeletal fiber
XM_011419836	GO:0033202~DNA helicase complex
XM_011419378	GO:0005783~endoplasmic reticulum
XM_011419504	GO:0005921~gap junction
AJ563476	GO:0030529~intracellular ribonucleoprotein complex
XM_011419576	GO:0030529~intracellular ribonucleoprotein complex
XM_011419625	GO:0019012~virion
XM_011419836	GO:0031011~Ino80 complex
XM_011419836	GO:0000785~chromatin
XM_011420293	GO:1990351~transporter complex
XM_011420341	GO:0044440~endosomal part
XM_011420347	GO:0005887~integral component of plasma membrane
XM_011420781	GO:0005576~extracellular region
XM_011421257	GO:0005921~gap junction
XM_011421258	GO:0030054~cell junction
XM_011421259	GO:0030054~cell junction
XM_011421265	GO:0005921~gap junction
XM_011421260	GO:0030054~cell junction
XM_011421265	GO:0005911~cell-cell junction
NM_001308852	GO:0005576~extracellular region
EF190193	GO:0005576~extracellular region
XM_011421758	GO:0000786~nucleosome
XM_011421780	GO:0000151~ubiquitin ligase complex
XM_011421791	GO:0005576~extracellular region
XM_011421870	GO:0005681~spliceosomal complex
XM_011421869	GO:1990904~ribonucleoprotein complex
XM_011421880	GO:0005576~extracellular region
XM_011422219	GO:0031226~intrinsic component of plasma membrane
XM_011422227	GO:0048475~coated membrane
XM_011422227	GO:0030659~cytoplasmic vesicle membrane
XM_011422227	GO:0012506~vesicle membrane
XM_011422227	GO:0030120~vesicle coat
XM_011422611	GO:1990904~ribonucleoprotein complex
XM_011422620	GO:1904949~ATPase complex
XM_011423523	GO:1903293~phosphatase complex
XM_011423657	GO:0035267~NuA4 histone acetyltransferase complex
XM_011424138	GO:1990904~ribonucleoprotein complex
XM_011424595	GO:0031975~envelope
XM_011424720	GO:0019898~extrinsic component of membrane
XM_011425150	GO:0044431~Golgi apparatus part
XM_011425246	GO:0031968~organelle outer membrane
XM_011425247	GO:0005741~mitochondrial outer membrane
XM_011425247	GO:0031968~organelle outer membrane
XM_011425244	GO:0031975~envelope
XM_011422503	GO:0044815~DNA packaging complex
XM_011422990	GO:0044815~DNA packaging complex
XM_011422670	GO:1990904~ribonucleoprotein complex
XM_011422670	GO:0005840~ribosome
AY659986	GO:0005576~extracellular region
XM_011422747	GO:0005576~extracellular region
AJ563455	GO:0030529~intracellular ribonucleoprotein complex
AJ563455	GO:0044445~cytosolic part
AJ563455	GO:0005829~cytosol
XM_011424157	GO:0044432~endoplasmic reticulum part
XM_011424595	GO:0098798~mitochondrial protein complex
XM_011424989	GO:0031985~Golgi cisterna
XM_011425146	GO:0098589~membrane region
XM_011425146	GO:0098590~plasma membrane region
XM_011425147	GO:0000139~Golgi membrane
XM_011425147	GO:0098590~plasma membrane region
XM_011425149	GO:0098589~membrane region
XM_011425149	GO:0005794~Golgi apparatus
XM_011425152	GO:0044853~plasma membrane raft
XM_011425152	GO:0005794~Golgi apparatus
XM_011425153	GO:0005794~Golgi apparatus
XM_011425153	GO:0044431~Golgi apparatus part
XM_011425247	GO:0044429~mitochondrial part
XM_011425247	GO:0005739~mitochondrion
XM_011425245	GO:0005739~mitochondrion
XM_011425245	GO:0031966~mitochondrial membrane
AM286405	GO:0016459~myosin complex
XM_011425625	GO:0034702~ion channel complex
XM_011425625	GO:1990351~transporter complex
XM_011425618	GO:0034703~cation channel complex
XM_011425612	GO:0031226~intrinsic component of plasma membrane
XM_011426940	GO:0031975~envelope
XM_011427740	GO:0005911~cell-cell junction
XM_011427934	GO:0000786~nucleosome
XM_011428455	GO:0031252~cell leading edge
XM_011428456	GO:0031252~cell leading edge
XM_011426300	GO:0005581~collagen trimer
XM_011426787	GO:0005732~small nucleolar ribonucleoprotein complex
XM_011426857	GO:0043189~H4/H2A histone acetyltransferase complex
XM_011427418	GO:0005654~nucleoplasm
XM_011427679	GO:0005840~ribosome
XM_011428222	GO:1990904~ribonucleoprotein complex
XM_011429591	GO:0030130~clathrin coat of trans-Golgi network vesicle
XM_011429592	GO:0030125~clathrin vesicle coat
XM_011429592	GO:0098589~membrane region
XM_011429725	GO:0030286~dynein complex
XM_011430237	GO:0022624~proteasome accessory complex
XM_011430246	GO:0005852~eukaryotic translation initiation factor 3 complex
XM_011430288	GO:1990351~transporter complex
XM_011430960	GO:0005874~microtubule
NM_001305373	GO:0099512~supramolecular fiber
AB196533	GO:0099512~supramolecular fiber
XM_011431114	GO:0044433~cytoplasmic vesicle part
XM_011431117	GO:0030117~membrane coat
XM_011431117	GO:0012507~ER to Golgi transport vesicle membrane
XM_011431115	GO:0030133~transport vesicle
XM_011431286	GO:0034702~ion channel complex
XM_011431286	GO:0034703~cation channel complex
XM_011431286	GO:1990351~transporter complex
XM_011431290	GO:0034703~cation channel complex
XM_011431296	GO:0034704~calcium channel complex
XM_011431288	GO:0034704~calcium channel complex
XM_011431294	GO:1990351~transporter complex
XM_011431779	GO:0031226~intrinsic component of plasma membrane
XM_011432077	GO:1902911~protein kinase complex
XM_011429351	GO:0099513~polymeric cytoskeletal fiber
XM_011429591	GO:0012506~vesicle membrane
XM_011429592	GO:0030132~clathrin coat of coated pit
XM_011429592	GO:0030140~trans-Golgi network transport vesicle
XM_011429592	GO:0030133~transport vesicle
XM_011429592	GO:0031988~membrane-bounded vesicle
XM_011429592	GO:0005798~Golgi-associated vesicle
XM_011429591	GO:0005905~clathrin-coated pit
XM_011429592	GO:0005905~clathrin-coated pit
XM_011431114	GO:0030662~coated vesicle membrane
XM_011431117	GO:0030662~coated vesicle membrane
XM_011429909	GO:0005581~collagen trimer
XM_011430130	GO:0044451~nucleoplasm part
XM_011430246	GO:0070993~translation preinitiation complex
XM_011430246	GO:0033290~eukaryotic 48S preinitiation complex
XM_011430791	GO:0098798~mitochondrial protein complex
XM_011430791	GO:0005739~mitochondrion
XM_011431026	GO:0030880~RNA polymerase complex
XM_011431026	GO:0000428~DNA-directed RNA polymerase complex
XM_011431026	GO:0044451~nucleoplasm part
XM_011431057	GO:0031966~mitochondrial membrane
XM_011431116	GO:0031988~membrane-bounded vesicle
XM_011431115	GO:0030120~vesicle coat
XM_011431116	GO:0030127~COPII vesicle coat
XM_011431781	GO:0005887~integral component of plasma membrane
XM_011431779	GO:0005887~integral component of plasma membrane
XM_011432183	GO:0030286~dynein complex
XM_011432183	GO:0005875~microtubule associated complex
XM_011432184	GO:0030286~dynein complex
XM_011432184	GO:0015630~microtubule cytoskeleton
XM_011432183	GO:0015630~microtubule cytoskeleton
XM_011432182	GO:0015630~microtubule cytoskeleton
XM_011432185	GO:0030286~dynein complex
XM_011432509	GO:0005654~nucleoplasm
XM_011432511	GO:1902493~acetyltransferase complex
XM_011433512	GO:0005794~Golgi apparatus
XM_011433930	GO:0044815~DNA packaging complex
XM_011434209	GO:0031967~organelle envelope
XM_011434209	GO:0098803~respiratory chain complex
XM_011434433	GO:0005730~nucleolus
XM_011434436	GO:0005576~extracellular region
XM_011434583	GO:0061695~transferase complex, transferring phosphorus-containing groups
XM_011434952	GO:0005739~mitochondrion
XM_011434952	GO:0031968~organelle outer membrane
XM_011432509	GO:0044451~nucleoplasm part
XM_011432511	GO:0044451~nucleoplasm part
NM_001305307	GO:0005885~Arp2/3 protein complex
XM_011433044	GO:0030118~clathrin coat
XM_011433044	GO:0030117~membrane coat
XM_011433512	GO:0044431~Golgi apparatus part
XM_011433698	GO:0000152~nuclear ubiquitin ligase complex
XM_011433811	GO:0044427~chromosomal part
NM_001305363	GO:0099513~polymeric cytoskeletal fiber
XM_011434209	GO:0045271~respiratory chain complex I
XM_011434355	GO:0000152~nuclear ubiquitin ligase complex
XM_011435167	GO:0005759~mitochondrial matrix
XM_011435167	GO:0061695~transferase complex, transferring phosphorus-containing groups
XM_011435212	GO:0031012~extracellular matrix
XM_011435212	GO:0005604~basement membrane
XM_011435211	GO:0005578~proteinaceous extracellular matrix
XM_011435211	GO:0005604~basement membrane
XM_011435232	GO:0044423~virion part
XM_011435456	GO:0031975~envelope
XM_011436417	GO:1990904~ribonucleoprotein complex
XR_900959	GO:0019013~viral nucleocapsid
XM_011436435	GO:0005759~mitochondrial matrix
XM_011436470	GO:0098533~ATPase dependent transmembrane transport complex
XM_011437627	GO:0019028~viral capsid
XM_011437719	GO:0005901~caveola
XM_011435232	GO:1990904~ribonucleoprotein complex
XM_011435260	GO:0031234~extrinsic component of cytoplasmic side of plasma membrane
XM_011435455	GO:0031967~organelle envelope
XM_011436119	GO:0044421~extracellular region part
XM_011436414	GO:0019012~virion
XM_011436470	GO:0031226~intrinsic component of plasma membrane
XM_011437653	GO:0005783~endoplasmic reticulum
XM_011437718	GO:0005901~caveola
XM_011437719	GO:0098590~plasma membrane region
XM_011437719	GO:0000139~Golgi membrane
XM_011437984	GO:0016592~mediator complex
XM_011438169	GO:0031226~intrinsic component of plasma membrane
XM_011438169	GO:1902495~transmembrane transporter complex
XM_011438169	GO:0008076~voltage-gated potassium channel complex
NM_001305334	GO:0000323~lytic vacuole
XM_011438220	GO:1990904~ribonucleoprotein complex
XM_011438260	GO:0005643~nuclear pore
XM_011438260	GO:0031975~envelope
XM_011438662	GO:0031988~membrane-bounded vesicle
XM_011438663	GO:0098791~Golgi subcompartment
XM_011438661	GO:0098791~Golgi subcompartment
XM_011438753	GO:0005740~mitochondrial envelope
XM_011439438	GO:0016591~DNA-directed RNA polymerase II, holoenzyme
XM_011439438	GO:0005667~transcription factor complex
XM_011439869	GO:1990904~ribonucleoprotein complex
XM_011441088	GO:0044427~chromosomal part
XM_011441351	GO:0030054~cell junction
XM_011441351	GO:0005921~gap junction
AB262086	GO:0005783~endoplasmic reticulum
XM_011438753	GO:0031966~mitochondrial membrane
XM_011439114	GO:0005576~extracellular region
XM_011439437	GO:0090575~RNA polymerase II transcription factor complex
XM_011439915	GO:0034703~cation channel complex
XM_011440116	GO:0030118~clathrin coat
XM_011440114	GO:0005802~trans-Golgi network
XM_011440114	GO:0030131~clathrin adaptor complex
XM_011440486	GO:0044432~endoplasmic reticulum part
XM_011440543	GO:0030133~transport vesicle
XM_011440949	GO:0099513~polymeric cytoskeletal fiber
XM_011443066	GO:0030529~intracellular ribonucleoprotein complex
XM_011443430	GO:0016591~DNA-directed RNA polymerase II, holoenzyme
XM_011443505	GO:0005911~cell-cell junction
XM_011443511	GO:0005911~cell-cell junction
XM_011443507	GO:0005911~cell-cell junction
XM_011443512	GO:0005911~cell-cell junction
XM_011443513	GO:0030054~cell junction
XM_011443536	GO:0005694~chromosome
XM_011443538	GO:0005694~chromosome
XM_011443538	GO:0044815~DNA packaging complex
XM_011442944	GO:0005667~transcription factor complex
XM_011443520	GO:0000502~proteasome complex
XM_011443536	GO:0000786~nucleosome
XM_011443879	GO:0031967~organelle envelope
XM_011443879	GO:0005740~mitochondrial envelope
XM_011443917	GO:0030119~AP-type membrane coat adaptor complex
XM_011444609	GO:0031967~organelle envelope
XM_011444842	GO:0005576~extracellular region
XM_011445281	GO:0098791~Golgi subcompartment
XM_011445341	GO:0098857~membrane microdomain
XM_011445448	GO:0005887~integral component of plasma membrane
XM_011445879	GO:0044441~ciliary part
XM_011446017	GO:0000785~chromatin
XM_011446360	GO:0005795~Golgi stack
XM_011446360	GO:0000139~Golgi membrane
XM_011446710	GO:0044391~ribosomal subunit
XM_011443719	GO:0005667~transcription factor complex
XM_011444019	GO:0005654~nucleoplasm
XM_011444841	GO:0005578~proteinaceous extracellular matrix
XM_011444144	GO:0005783~endoplasmic reticulum
XM_011444151	GO:0016592~mediator complex
XM_011444151	GO:0044451~nucleoplasm part
XM_011444294	GO:0030529~intracellular ribonucleoprotein complex
XM_011444431	GO:0005840~ribosome
XM_011444431	GO:1990904~ribonucleoprotein complex
AB262088	GO:0005740~mitochondrial envelope
XM_011444791	GO:0031514~motile cilium
EU678311	GO:0031012~extracellular matrix
XM_011445281	GO:0031988~membrane-bounded vesicle
XM_011445448	GO:0031226~intrinsic component of plasma membrane
XM_011445538	GO:0031226~intrinsic component of plasma membrane
XM_011445533	GO:0031226~intrinsic component of plasma membrane
XM_011445538	GO:0005887~integral component of plasma membrane
XM_011446360	GO:0005794~Golgi apparatus
XM_011447306	GO:0000502~proteasome complex
XM_011447947	GO:0044798~nuclear transcription factor complex
XM_011447943	GO:0005667~transcription factor complex
EU152950	GO:1990904~ribonucleoprotein complex
XM_011447763	GO:0005739~mitochondrion
XM_011447762	GO:0044429~mitochondrial part
XM_011447780	GO:0005777~peroxisome
XM_011447780	GO:0042579~microbody
AJ561117	GO:1990904~ribonucleoprotein complex
XM_011448076	GO:0005929~cilium
XM_011448449	GO:0098798~mitochondrial protein complex
XM_011448801	GO:0000439~core TFIIH complex
XM_011449054	GO:0098803~respiratory chain complex
XM_011449426	GO:0012510~trans-Golgi network transport vesicle membrane
XM_011449426	GO:0005905~clathrin-coated pit
XM_011449425	GO:0030133~transport vesicle
XM_011449425	GO:0030140~trans-Golgi network transport vesicle
XM_011449425	GO:0030132~clathrin coat of coated pit
XM_011449482	GO:0005783~endoplasmic reticulum
XM_011449604	GO:1990904~ribonucleoprotein complex
XM_011450548	GO:0099513~polymeric cytoskeletal fiber
XM_011450792	GO:0030529~intracellular ribonucleoprotein complex
XM_011450928	GO:0005739~mitochondrion
XM_011448076	GO:0034464~BBSome
XM_011449054	GO:0005746~mitochondrial respiratory chain
XM_011449054	GO:0005740~mitochondrial envelope
XM_011449426	GO:0030120~vesicle coat
XM_011449426	GO:0030658~transport vesicle membrane
XM_011449511	GO:0005885~Arp2/3 protein complex
XM_011449582	GO:0033557~Slx1-Slx4 complex
AJ563459	GO:0005840~ribosome
XM_011449604	GO:0030529~intracellular ribonucleoprotein complex
XM_011450240	GO:0015630~microtubule cytoskeleton
XM_011451086	GO:0005643~nuclear pore
XM_011451755	GO:0099513~polymeric cytoskeletal fiber
XM_011451755	GO:0015630~microtubule cytoskeleton
XM_011451756	GO:1990904~ribonucleoprotein complex
XM_011452031	GO:0045202~synapse
XM_011452031	GO:0045211~postsynaptic membrane
XM_011452036	GO:0098794~postsynapse
XM_011452036	GO:0097060~synaptic membrane
XM_011452115	GO:0005694~chromosome
XM_011452286	GO:0005783~endoplasmic reticulum
XM_011452747	GO:0005576~extracellular region
HM992925	GO:0005576~extracellular region
XM_011452857	GO:0005789~endoplasmic reticulum membrane
